,smiles,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
0,CC1=NN(c2ccc(C)c(C)c2)C(=O)C1N=Nc1cccc(-c2cccc(C(=O)O)c2)c1O,0,0,0,0,0,0,0,0,0,0,0
1,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,0,0,0,0,0,0,0,0,-1,-1,0
2,CN(c1ccccc1CN=c1[nH]c(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,0,0,0,0,0,0,0,-1,0,0,0
3,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,0,0,0,0,0,0,0,0,1,1,1
4,O=C(O)C1(C(O)=Nc2ccc(Cl)cc2Cl)CC1,0,0,0,0,0,0,0,0,0,1,0
5,CCN1C(=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,0,0,0,0,0,0,0,0,1,1,0
6,CCCCCCC(=O)OC1CCC2C3CCC4CC(=O)C=C(C)C4(C)C3CCC12C,0,0,0,0,0,0,0,0,0,0,0
7,N#Cc1ccccc1C#N,0,0,0,0,0,0,0,0,-1,-1,0
8,C#CC[NH+](C)Cc1ccccc1,0,0,0,-1,0,0,0,0,0,0,0
9,CCCCCC(C=O)=Cc1ccccc1,0,0,0,0,0,0,0,0,-1,-1,0
10,CO[C@@]1(N=C(O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,0,0,-1,0,0,0,0,0,0,0,0
11,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,0,0,0,0,0,0,0,0,1,-1,0
12,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,-1,0,0,0,0,0,0,-1,-1,-1,0
13,CC1=NC(=O)N=C(O)C1,0,0,0,0,0,0,0,0,0,0,0
14,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,0,0,0,0,0,0,0,0,0,-1,-1
15,C=CC(=O)OCCN(C)C,0,0,0,0,0,0,0,0,-1,-1,0
16,CCCCCCCCSCCO,0,0,0,0,0,0,0,0,0,-1,0
17,O=Cc1cccc(Oc2ccccc2)c1,0,0,0,0,0,0,0,0,0,-1,0
18,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(O)=N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C)C(O)=N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,-1,0,0,1,0,0,0,0,0,0,0
19,Clc1ccc(C(Cl)(Cl)Cl)cn1,0,0,0,0,0,0,0,0,-1,-1,0
20,N=CO,0,0,0,0,0,0,0,0,-1,-1,0
21,CC(C)C[C@H](N=C(O)[C@H](Cc1ccccc1)N=C(O)c1cnccn1)B(O)O,0,0,0,1,0,0,0,-1,0,0,0
22,C=CCOCC(CC(O)C(COc1cc(F)cc(F)c1)N=C(O)c1cc(C(O)=NC(C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)OC,0,-1,0,0,0,0,0,0,0,0,0
23,N=C(N)NCC1COC2(CCCCC2)O1.N=C(N)NCC1COC2(CCCCC2)O1.O=S(=O)(O)O,-1,0,0,0,0,0,0,0,0,0,0
24,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,0,0,0,0,0,0,0,-1,0,0,0
25,CCc1ccc(Br)cc1,0,0,0,0,0,0,0,0,-1,-1,0
26,CC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@@]21C,0,0,0,0,0,0,0,-1,0,0,0
27,CC#CCn1c(N2CCC[C@@H]([NH3+])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0,0,0,-1,0,0,0,0,0,0,0
28,Oc1ccc(Nc2ccccc2)cc1,0,0,0,0,0,0,0,0,1,0,0
29,CC([NH3+])Cc1ccccc1,0,0,0,-1,0,0,0,0,0,0,0
30,Cc1ccc(S(N)(=O)=O)cc1,0,0,0,0,0,0,0,-1,-1,-1,0
31,CCc1cccc(CC)c1N=C(O)CN(CC(=O)O)CC(=O)O,-1,0,0,0,0,0,0,-1,-1,-1,0
