,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
0,0.040904,0.013443,0.714596,0.000960,0.376196,0.070186,0.000068,0.000250,0.008193,0.004994,0.562765
1,0.040904,0.013443,0.654832,0.008464,0.143635,0.015336,0.000954,0.000231,0.000566,0.056799,0.724961
2,0.025280,0.048430,0.879643,0.000114,0.877001,0.024268,0.000008,0.000916,0.474873,0.001658,0.673784
3,0.023676,0.073947,0.256864,0.507150,0.709311,0.102428,0.000000,0.001256,0.835417,0.352446,0.608375
4,0.037140,0.016458,0.647477,0.001589,0.489137,0.000813,0.000067,0.000278,0.001992,0.000494,0.626637
5,0.034167,0.019849,0.393521,0.000017,0.524070,0.493420,0.000072,0.000352,0.000703,0.001118,0.590327
6,0.030768,0.025615,0.815994,0.028380,0.274379,0.026330,0.000007,0.000397,0.196071,0.004535,0.626697
7,0.025614,0.045577,0.257962,0.110763,0.574239,0.272589,0.000117,0.001999,0.061047,0.369123,0.649059
8,0.034167,0.019849,0.581953,0.032387,0.249028,0.344973,0.000001,0.000315,0.147391,0.003176,0.627793
9,0.038211,0.015604,0.748001,0.000167,0.684098,0.043937,0.000016,0.000295,0.008300,0.000508,0.406802
10,0.028823,0.031427,0.453496,0.008194,0.847302,0.014560,0.000008,0.000452,0.015844,0.235157,0.547193
11,0.018439,0.231823,0.023577,0.055205,0.548972,0.033129,0.000218,0.002699,0.252596,0.085207,0.756954
12,0.031779,0.023607,0.555022,0.003710,0.133001,0.060394,0.000072,0.000351,0.006521,0.382198,0.618819
13,0.040904,0.013443,0.527981,0.002691,0.399678,0.096062,0.000090,0.000219,0.113053,0.135935,0.708991
14,0.047102,0.010235,0.992667,0.000633,0.057911,0.005598,0.000151,0.000183,0.001090,0.000723,0.574236
15,0.041942,0.012761,0.838786,0.000174,0.133724,0.036939,0.000040,0.000221,0.000889,0.002018,0.586113
16,0.038911,0.014900,0.703797,0.000142,0.009690,0.045947,0.031298,0.000282,0.011521,0.005467,0.496707
17,0.026575,0.041435,0.064043,0.008321,0.742470,0.112751,0.000015,0.000683,0.010025,0.251667,0.538581
18,0.036197,0.017302,0.910838,0.000441,0.420520,0.180021,0.000230,0.000310,0.000398,0.002184,0.599404
19,0.029563,0.029273,0.167273,0.000011,0.354056,0.003309,0.000160,0.000520,0.034379,0.278207,0.633890
20,0.023101,0.068707,0.109487,0.000001,0.106915,0.191941,0.000000,0.000934,0.002814,0.160605,0.655515
21,0.026993,0.042430,0.134874,0.001213,0.564725,0.006851,0.000068,0.000535,0.055277,0.138935,0.655479
22,0.034167,0.019849,0.714675,0.000025,0.398031,0.097993,0.000042,0.000292,0.000079,0.000017,0.655656
23,0.023174,0.068560,0.016445,0.000175,0.807169,0.035478,0.000127,0.001160,0.000645,0.020765,0.574412
24,0.026491,0.040651,0.266921,0.000655,0.022074,0.311724,0.000004,0.000675,0.000465,0.474710,0.726881
25,0.037140,0.016458,0.935722,0.000133,0.870176,0.004675,0.000478,0.000299,0.004371,0.003441,0.706644
26,0.026491,0.027979,0.027424,0.000198,0.998607,0.013581,0.000001,0.000789,0.001252,0.053291,0.762829
27,0.034702,0.021229,0.714051,0.001435,0.044610,0.022854,0.000151,0.000306,0.002756,0.264712,0.604340
28,0.022082,0.085900,0.264859,0.004446,0.779666,0.003124,0.000002,0.001363,0.000316,0.067498,0.543085
29,0.024563,0.049980,0.239441,0.293299,0.304282,0.054659,0.000000,0.003126,0.016916,0.554938,0.598716
30,0.037885,0.015689,0.834209,0.000123,0.088779,0.186166,0.000133,0.000236,0.017605,0.000066,0.841161
31,0.023458,0.063323,0.092945,0.419200,0.360689,0.196261,0.000002,0.000789,0.302660,0.766639,0.670959
32,0.027017,0.037619,0.451513,0.000011,0.738432,0.048323,0.000199,0.000656,0.000016,0.051421,0.711534
33,0.039789,0.014173,0.847635,0.004084,0.019067,0.057907,0.000043,0.000220,0.000546,0.000033,0.630144
34,0.039789,0.014173,0.798188,0.001866,0.031249,0.023578,0.000056,0.000243,0.000064,0.000000,0.606989
35,0.022572,0.076491,0.166585,0.180531,0.665207,0.114884,0.000000,0.039817,0.073225,0.000942,0.633805
36,0.030768,0.025615,0.522543,0.003046,0.632031,0.004403,0.000000,0.000386,0.002752,0.000067,0.670745
37,0.043144,0.012084,0.836007,0.001821,0.008191,0.049596,0.001046,0.000262,0.000239,0.002793,0.694205
38,0.023588,0.063474,0.787883,0.156975,0.498489,0.301484,0.000012,0.001626,0.000329,0.000919,0.621600
39,0.033740,0.020634,0.869593,0.034461,0.568492,0.101601,0.000004,0.000385,0.179017,0.340799,0.613059
40,0.030535,0.026449,0.437457,0.242355,0.732139,0.057398,0.000022,0.000498,0.000012,0.008232,0.628145
41,0.031487,0.024431,0.882767,0.000086,0.221684,0.046943,0.001741,0.000583,0.002408,0.000019,0.606668
42,0.037140,0.016458,0.931891,0.002367,0.148123,0.053104,0.000071,0.000243,0.012154,0.007718,0.598575
43,0.023817,0.060956,0.104697,0.001763,0.857564,0.020944,0.000000,0.003937,0.000439,0.058140,0.641862
44,0.024853,0.050182,0.255300,0.000035,0.267521,0.006427,0.000070,0.002995,0.002416,0.000343,0.635118
45,0.031487,0.024431,0.329272,0.014151,0.989777,0.009618,0.000027,0.000411,0.002917,0.000011,0.642616
