,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
0,0.060383,0.235900,0.814324,0.133806,0.460666,0.140809,0.058178,0.009942,0.100478,0.070123,0.665573
1,0.060383,0.235900,0.814451,0.140295,0.460197,0.130751,0.088836,0.005810,0.102853,0.072786,0.664382
2,0.060026,0.266969,0.440567,0.400225,0.498485,0.085493,0.227587,0.116756,0.346482,0.072997,0.675223
3,0.059821,0.301579,0.216834,0.625967,0.507652,0.086883,0.151743,0.627739,0.320754,0.076783,0.679243
4,0.060311,0.235334,0.806971,0.135686,0.464356,0.114789,0.074037,0.013527,0.164161,0.068490,0.666596
5,0.060239,0.235639,0.788413,0.186625,0.468281,0.175402,0.069424,0.012269,0.114954,0.071360,0.667613
6,0.060138,0.237815,0.754899,0.257667,0.473634,0.117146,0.101042,0.022676,0.229821,0.070534,0.669205
7,0.060041,0.259731,0.503083,0.476960,0.494832,0.118218,0.202161,0.251876,0.209255,0.074801,0.674377
8,0.060239,0.235639,0.791953,0.228651,0.468486,0.155787,0.062971,0.031819,0.126746,0.068391,0.667355
9,0.060474,0.234404,0.803021,0.136650,0.465277,0.136667,0.066855,0.013417,0.122320,0.069972,0.667836
10,0.060218,0.242605,0.670205,0.360610,0.485091,0.104818,0.131080,0.019537,0.191609,0.080406,0.671733
11,0.054121,0.354133,0.122036,0.033107,0.449703,0.154514,0.079854,0.018248,0.228394,0.063219,0.690977
12,0.060170,0.236855,0.772991,0.209156,0.472033,0.128805,0.074007,0.014931,0.145862,0.076350,0.668345
13,0.060383,0.235900,0.813610,0.128293,0.460542,0.143321,0.056378,0.011068,0.169965,0.071421,0.665149
14,0.060278,0.239345,0.827359,0.097376,0.453875,0.137849,0.050905,0.011521,0.087667,0.066845,0.663602
15,0.060228,0.237537,0.824886,0.115270,0.457749,0.136195,0.056227,0.011886,0.086422,0.069610,0.664491
16,0.060347,0.235511,0.813527,0.116115,0.462148,0.131634,0.100102,0.011546,0.114169,0.071302,0.666887
17,0.060119,0.258797,0.475492,0.471344,0.497379,0.112134,0.155809,0.113740,0.261519,0.075734,0.675301
18,0.060142,0.236339,0.811035,0.131379,0.463477,0.147227,0.064687,0.019134,0.092269,0.070246,0.666117
19,0.060256,0.240629,0.670629,0.273961,0.482278,0.107216,0.115517,0.058747,0.172874,0.076952,0.670643
20,0.059853,0.301781,0.210923,0.450470,0.506507,0.100831,0.162726,0.508071,0.264796,0.070483,0.678714
21,0.060119,0.250582,0.586415,0.408532,0.489717,0.096380,0.152153,0.041024,0.249660,0.074642,0.672684
22,0.060239,0.235639,0.792448,0.158008,0.468192,0.129158,0.076438,0.018608,0.090771,0.068731,0.667497
23,0.059809,0.307108,0.162216,0.511194,0.507800,0.091149,0.192020,0.362647,0.305568,0.074240,0.680310
24,0.060091,0.253021,0.565011,0.458326,0.490954,0.124044,0.165222,0.086303,0.211229,0.078005,0.673255
25,0.060311,0.235334,0.806579,0.151899,0.464568,0.121758,0.079623,0.010737,0.129072,0.069950,0.665497
26,0.060091,0.251439,0.503540,0.418115,0.492451,0.101839,0.138354,0.061725,0.225386,0.074447,0.672595
27,0.060113,0.236177,0.804267,0.171825,0.465282,0.126797,0.067808,0.012677,0.112924,0.075969,0.666625
28,0.060014,0.350821,0.088648,0.572591,0.512685,0.068108,0.127386,0.715040,0.299054,0.068657,0.683623
29,0.059977,0.271205,0.395431,0.510481,0.498510,0.099754,0.140290,0.357099,0.265064,0.073500,0.676847
30,0.060171,0.236529,0.816352,0.132629,0.461497,0.145970,0.077711,0.018526,0.113833,0.069075,0.664709
31,0.059909,0.286584,0.301709,0.578567,0.502008,0.103876,0.145811,0.179924,0.358621,0.077136,0.677065
32,0.060073,0.247968,0.612526,0.306467,0.487104,0.102825,0.134068,0.080024,0.180439,0.076213,0.671899
33,0.060200,0.236930,0.820587,0.141696,0.459418,0.135620,0.059702,0.010843,0.089913,0.067397,0.664913
34,0.060200,0.236930,0.822053,0.122272,0.459580,0.126486,0.065138,0.012327,0.081700,0.068818,0.665139
35,0.059769,0.319488,0.157256,0.600268,0.508710,0.088315,0.143248,0.787562,0.292305,0.069678,0.680116
36,0.060138,0.237815,0.757634,0.224910,0.473895,0.106960,0.074170,0.016706,0.144584,0.071345,0.668899
37,0.060417,0.236496,0.824455,0.124089,0.458260,0.163418,0.088152,0.018074,0.081647,0.070429,0.664379
38,0.059869,0.296134,0.241636,0.564177,0.505092,0.104335,0.185706,0.607820,0.245646,0.069182,0.679423
39,0.060345,0.235246,0.781061,0.227781,0.471542,0.132197,0.083653,0.039054,0.151971,0.076057,0.668045
40,0.060227,0.238181,0.733370,0.335536,0.478032,0.125017,0.115527,0.046172,0.129837,0.076481,0.669545
41,0.060264,0.236963,0.759493,0.193450,0.475670,0.148470,0.121504,0.035735,0.131864,0.072527,0.669313
42,0.060311,0.235334,0.809045,0.157221,0.463969,0.127379,0.070508,0.010537,0.111601,0.071895,0.666328
43,0.059896,0.290907,0.263119,0.534665,0.504949,0.084869,0.160573,0.591622,0.232867,0.072111,0.678841
44,0.059976,0.263988,0.475610,0.389623,0.495249,0.093912,0.175116,0.292433,0.237562,0.074029,0.674646
45,0.060264,0.236963,0.744857,0.263386,0.476196,0.115879,0.095160,0.021234,0.109309,0.068534,0.669495
46,0.059888,0.290643,0.256003,0.573418,0.504409,0.093442,0.176524,0.744461,0.315360,0.073462,0.677721
47,0.060345,0.235246,0.779091,0.229649,0.470712,0.125691,0.104086,0.009431,0.212475,0.078892,0.668040
48,0.060432,0.235193,0.762433,0.307918,0.475164,0.122111,0.090259,0.021984,0.122651,0.077179,0.668272
49,0.060026,0.266969,0.409078,0.504175,0.498289,0.092277,0.177402,0.138745,0.248643,0.075289,0.675387
50,0.060073,0.247968,0.632394,0.372452,0.487239,0.102198,0.114263,0.087679,0.256731,0.082289,0.672026
51,0.060417,0.236496,0.823658,0.134785,0.458877,0.122172,0.073916,0.010613,0.096628,0.069140,0.664425
52,0.060299,0.240532,0.826110,0.091195,0.450771,0.160460,0.051728,0.011578,0.084714,0.067118,0.663106
53,0.060073,0.247968,0.626688,0.445651,0.487210,0.106162,0.083930,0.049442,0.226257,0.075986,0.672348
54,0.059785,0.306927,0.194130,0.574385,0.507875,0.091489,0.160145,0.653405,0.317225,0.074336,0.679121
55,0.060009,0.246262,0.660468,0.377351,0.484284,0.113246,0.113025,0.045000,0.235532,0.071733,0.671188
56,0.060228,0.237537,0.823530,0.123097,0.457688,0.153047,0.054173,0.014404,0.086228,0.066598,0.664602
57,0.060218,0.242349,0.679447,0.370553,0.483631,0.134918,0.111763,0.026796,0.184037,0.074642,0.670346
58,0.060311,0.235334,0.807060,0.174822,0.464128,0.140097,0.069304,0.008812,0.220527,0.072418,0.667300
59,0.060311,0.235334,0.807789,0.130999,0.464482,0.191385,0.059493,0.009421,0.115718,0.067943,0.667877
60,0.060383,0.235900,0.819672,0.134054,0.460631,0.112868,0.077492,0.013009,0.099180,0.067812,0.665933
61,0.060297,0.238902,0.709698,0.284762,0.481965,0.105972,0.131562,0.028869,0.173556,0.076056,0.670001
62,0.060239,0.235639,0.787312,0.150854,0.468093,0.125724,0.072954,0.018444,0.103786,0.073037,0.668018
63,0.059935,0.276488,0.380264,0.517560,0.499892,0.091214,0.168577,0.189518,0.250242,0.070822,0.676573
64,0.060076,0.344744,0.098445,0.604045,0.511971,0.090363,0.147227,0.692623,0.376488,0.065787,0.682441
65,0.060228,0.237537,0.821459,0.127108,0.457443,0.140963,0.060473,0.012275,0.085596,0.066467,0.664633
66,0.060009,0.256839,0.529161,0.429324,0.493542,0.105104,0.137144,0.153917,0.186447,0.069796,0.673249
67,0.060041,0.259731,0.503217,0.475566,0.495587,0.091882,0.226273,0.124753,0.209324,0.070824,0.674714
68,0.060049,0.266579,0.422259,0.492541,0.498790,0.107671,0.156517,0.204926,0.220940,0.073281,0.676416
69,0.060383,0.235900,0.818204,0.141975,0.460247,0.154838,0.071936,0.012620,0.122124,0.070532,0.664558
70,0.060200,0.236930,0.822307,0.096790,0.459605,0.132629,0.054171,0.021455,0.118064,0.071263,0.665105
71,0.060383,0.235900,0.815955,0.105284,0.460204,0.166589,0.070633,0.007859,0.162360,0.069151,0.665315
72,0.060147,0.252476,0.554771,0.385382,0.492908,0.097134,0.122707,0.096015,0.171240,0.068723,0.672607
73,0.060278,0.239345,0.827052,0.096209,0.453925,0.173772,0.053809,0.011521,0.075202,0.066566,0.663602
74,0.060481,0.238753,0.825285,0.113035,0.455465,0.156578,0.064128,0.011111,0.092847,0.070729,0.664308
75,0.060041,0.259731,0.493243,0.471930,0.495197,0.109143,0.145929,0.087340,0.206939,0.072028,0.674198
76,0.060347,0.235511,0.813294,0.147565,0.462604,0.127052,0.063003,0.009642,0.095547,0.067419,0.665856
77,0.060054,0.262980,0.408064,0.435124,0.497421,0.112240,0.180611,0.076192,0.242461,0.073639,0.675850
78,0.060218,0.241952,0.679234,0.290034,0.484628,0.113246,0.167996,0.036266,0.171369,0.073307,0.671965
79,0.060218,0.242605,0.675094,0.456599,0.485188,0.108006,0.140903,0.038539,0.138375,0.070213,0.671393
80,0.059958,0.276041,0.358737,0.515257,0.501770,0.084042,0.154636,0.211385,0.288180,0.070240,0.675659
81,0.060239,0.235639,0.791005,0.145795,0.467927,0.127746,0.087530,0.015371,0.128577,0.071823,0.668093
82,0.060311,0.235334,0.808042,0.132224,0.464310,0.164996,0.084196,0.010737,0.131985,0.069740,0.666780
83,0.060147,0.252476,0.553754,0.443556,0.492588,0.109589,0.142916,0.109513,0.242989,0.081692,0.674318
84,0.060170,0.236855,0.773188,0.239058,0.471757,0.118115,0.071618,0.019289,0.139080,0.074552,0.668617
85,0.059166,0.404932,0.043252,0.542192,0.512328,0.099558,0.102123,0.959756,0.281177,0.066653,0.685348
86,0.060192,0.254883,0.510538,0.525261,0.497116,0.103797,0.178935,0.062621,0.322475,0.075563,0.674177
87,0.059855,0.295897,0.238406,0.520613,0.505456,0.079970,0.155850,0.437190,0.319593,0.074933,0.678978
88,0.059976,0.263988,0.463742,0.426919,0.495256,0.111886,0.129085,0.127543,0.226061,0.075965,0.674949
