,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
0,-0.782313,-1.351791,0.796448,-0.859577,-0.101022,-0.605679,-0.956930,-0.987962,-0.959063,-0.988067,0.667845
1,-0.874845,-1.154545,0.762761,-0.835961,-0.676686,-0.909154,-0.801506,-1.048323,-0.805331,-0.937496,0.722282
2,-0.886498,-0.520882,1.016546,-0.870248,0.130576,-0.828766,-0.681893,-0.889525,0.871838,-0.894886,0.606054
3,-0.867599,-0.018274,0.414185,-0.639446,-0.013573,-0.604887,-0.769971,-0.893841,-0.401263,-0.721200,0.537838
4,-0.781071,-0.938720,0.628698,-0.889712,-0.048108,-0.859347,-0.884568,-0.931816,-0.665425,-0.969638,0.822975
5,-0.857170,-0.991891,0.428807,-0.913601,-0.211249,-0.639442,-0.897201,-1.004348,-0.766960,-1.064551,0.580388
6,-0.874381,-0.619137,0.014334,-0.843707,-0.570240,-0.844318,-0.828310,-0.928771,-0.400252,-0.889329,0.564056
7,-0.961876,-0.739858,0.461331,-0.780585,-0.273479,-0.534454,-0.670134,-0.945275,-0.537830,-0.818383,0.714907
8,-0.896570,-1.125902,0.326357,-0.874633,-0.050392,-0.808513,-0.935500,-0.894108,-0.905425,-0.905602,0.565665
9,-0.832769,-1.094784,0.644072,-0.968151,-0.216527,-0.857231,-1.004110,-0.996495,-0.820129,-0.926681,0.488041
10,-0.939199,-0.535877,0.164995,-0.735329,0.337978,-0.797766,-0.789185,-0.982484,-0.753600,-0.568113,0.917341
11,-0.859483,0.690604,-0.288317,-0.712165,-0.325236,-0.710217,-0.708442,-0.854279,-0.222208,-0.602771,0.524134
12,-0.888866,-1.378066,0.626293,-1.025204,-0.313717,-0.776338,-1.018674,-0.964904,-0.780995,-0.770455,0.583475
13,-0.869691,-1.322897,0.717160,-0.967225,-0.206937,-0.713670,-1.038017,-0.985366,-0.489729,-1.031153,0.618479
14,-0.879345,-1.430430,0.834796,-0.896975,-0.654721,-0.916467,-1.108250,-1.005205,-1.174085,-0.973910,0.639606
